epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,1457.89,1.16506,2.86935,0.13011,0.96761,0.01585,8.85962,0.64497,0.43527,0.42966,0.2315,0.53028,0.29446,0.2624,0.14614,1.4325,3.87932,0.1664,1.74051,0.01823,0,0.000847026,0.000847026,0.000847026
26,1502.81,1.15085,2.94163,0.13374,0.96261,0.01529,8.92709,0.64879,0.445,0.4732,0.24072,0.49799,0.27421,0.19945,0.11036,1.42208,3.68406,0.16651,1.69613,0.0177,0,0.000836027,0.000836027,0.000836027
27,1564.37,1.13392,2.76848,0.12816,0.93512,0.01487,8.63257,0.64198,0.45235,0.52565,0.27495,0.5044,0.35028,0.25856,0.13322,1.43526,3.56391,0.16633,1.57749,0.01758,0,0.000825029,0.000825029,0.000825029
28,1627.44,1.12649,2.88045,0.12615,0.8867,0.01466,8.71101,0.64779,0.46321,0.52092,0.2748,0.54253,0.35791,0.26653,0.13018,1.39808,3.51469,0.16038,1.64909,0.01731,0,0.00081403,0.00081403,0.00081403
29,1690.5,1.09531,2.8223,0.11724,0.86043,0.01479,8.62724,0.66591,0.46127,0.49572,0.2701,0.52686,0.3288,0.24285,0.12718,1.35918,3.48197,0.16062,1.62319,0.0172,0,0.000803031,0.000803031,0.000803031
30,1752.52,1.11612,2.76759,0.11464,0.86321,0.01439,8.44922,0.67674,0.45161,0.50124,0.26163,0.51093,0.3402,0.28857,0.15443,1.39746,3.48756,0.14974,1.39508,0.01738,0,0.000792032,0.000792032,0.000792032
31,1814.45,1.07934,2.62395,0.11647,0.82774,0.01357,8.16236,0.65995,0.4444,0.45195,0.24496,0.5473,0.3368,0.2771,0.14943,1.42997,3.42842,0.14175,1.58113,0.01757,0,0.000781033,0.000781033,0.000781033
32,1876.4,1.05679,2.65791,0.10403,0.78886,0.01364,7.9704,0.68563,0.44528,0.56772,0.293,0.56392,0.35498,0.31227,0.16938,1.39678,3.29325,0.15036,1.39962,0.0172,0,0.000770034,0.000770034,0.000770034
33,1938.36,1.05821,2.59926,0.11387,0.79984,0.01304,7.8865,0.63771,0.46852,0.49217,0.26161,0.58532,0.34593,0.29063,0.15409,1.39429,3.26218,0.15147,1.59032,0.01665,0,0.000759035,0.000759035,0.000759035
34,2001.1,1.04803,2.5825,0.10867,0.81109,0.01329,7.88162,0.72069,0.44478,0.53309,0.28759,0.59302,0.31952,0.25106,0.13357,1.40266,3.32565,0.14071,1.31658,0.01733,0,0.000748036,0.000748036,0.000748036
35,2063.32,1.03456,2.52037,0.10654,0.75772,0.01308,7.80001,0.69874,0.45053,0.51876,0.28055,0.59732,0.36892,0.32201,0.17516,1.38504,3.36823,0.13896,1.36614,0.01689,0,0.000737037,0.000737037,0.000737037
36,2124.33,1.02635,2.52118,0.10238,0.7676,0.01266,7.63969,0.4789,0.58208,0.5272,0.26967,0.61234,0.32956,0.28297,0.15108,1.3774,3.29365,0.1393,1.51529,0.01688,0,0.000726038,0.000726038,0.000726038
37,2185.27,1.02925,2.49733,0.09922,0.7465,0.01317,7.7074,0.68202,0.4788,0.54549,0.27541,0.59127,0.38646,0.30768,0.15197,1.43565,3.25282,0.14005,1.40719,0.01704,0,0.00071504,0.00071504,0.00071504
38,2246.16,1.01483,2.46368,0.10616,0.7345,0.01312,7.73931,0.67315,0.53418,0.62027,0.32352,0.50686,0.34914,0.26925,0.13985,1.38745,3.57805,0.12998,1.33181,0.01702,0,0.000704041,0.000704041,0.000704041
39,2307.22,1.0184,2.46548,0.10586,0.73858,0.01236,7.59468,0.49787,0.62495,0.58157,0.30171,0.56836,0.35342,0.26994,0.14483,1.41375,3.2558,0.13622,1.49361,0.01722,0,0.000693042,0.000693042,0.000693042
40,2363.09,1.00342,2.37213,0.10386,0.71708,0.01271,7.40049,0.51609,0.58851,0.55632,0.28783,0.55004,0.33217,0.28327,0.16155,1.37829,3.29926,0.14454,1.45048,0.01694,0,0.000682043,0.000682043,0.000682043
41,2397.21,0.98296,2.3125,0.09734,0.7218,0.01258,7.38231,0.52178,0.61186,0.59403,0.33302,0.57129,0.34537,0.26121,0.14278,1.37834,3.36028,0.14629,1.42625,0.01672,0,0.000671044,0.000671044,0.000671044
42,2431.97,0.98681,2.26276,0.1007,0.6876,0.01265,7.21598,0.50325,0.61173,0.58129,0.29656,0.52307,0.30303,0.25363,0.14484,1.42559,3.43817,0.13668,1.34397,0.01727,0,0.000660045,0.000660045,0.000660045
43,2479.21,0.98114,2.22147,0.10033,0.6958,0.01228,7.08073,0.47885,0.6157,0.57559,0.29968,0.58819,0.33442,0.26349,0.14707,1.4054,3.46601,0.13507,1.40761,0.01737,0,0.000649046,0.000649046,0.000649046
44,2540.3,1.00625,2.22186,0.10482,0.69758,0.01268,7.11861,0.62114,0.52779,0.55117,0.28833,0.58113,0.33128,0.27527,0.14979,1.40231,3.23303,0.13773,1.37694,0.01696,0,0.000638047,0.000638047,0.000638047
45,2611.05,0.9613,2.18176,0.09787,0.67762,0.01179,7.04741,0.51534,0.56717,0.5417,0.27954,0.36019,0.33213,0.24477,0.13762,1.44216,3.33991,0.15557,1.33286,0.01744,0,0.000627048,0.000627048,0.000627048
46,2683.28,0.94698,2.14452,0.10362,0.67417,0.01173,6.95342,0.53181,0.5965,0.57227,0.2972,0.38452,0.36004,0.31268,0.18053,1.42002,3.18295,0.14788,1.33774,0.01736,0,0.000616049,0.000616049,0.000616049
47,2755.61,0.94064,2.05525,0.10386,0.66953,0.01213,6.82179,0.49965,0.58263,0.55201,0.30187,0.54327,0.34148,0.23558,0.13246,1.37597,3.21402,0.14586,1.55437,0.01693,0,0.000605051,0.000605051,0.000605051
48,2828.11,0.9386,2.07661,0.09761,0.65099,0.01197,6.76974,0.7215,0.46202,0.58621,0.31244,0.62772,0.37472,0.33636,0.19311,1.40156,3.12618,0.14443,1.28387,0.01736,0,0.000594052,0.000594052,0.000594052
49,2896.82,0.94485,2.06877,0.10095,0.63785,0.01231,6.78849,0.68075,0.48797,0.59018,0.31966,0.57968,0.39278,0.31101,0.15812,1.36509,3.25711,0.14451,1.34668,0.01681,0,0.000583053,0.000583053,0.000583053
50,2961.48,0.93175,1.98881,0.10032,0.64297,0.01149,6.51432,0.50787,0.61399,0.56925,0.30344,0.39006,0.37186,0.328,0.18447,1.39985,3.23161,0.14973,1.3382,0.01744,0,0.000572054,0.000572054,0.000572054
51,3025.99,0.94322,1.96273,0.09855,0.61618,0.0123,6.59946,0.65732,0.48499,0.56494,0.29899,0.62499,0.37029,0.34336,0.21142,1.41157,3.03848,0.14054,1.3485,0.01731,0,0.000561055,0.000561055,0.000561055
52,3090.62,0.91391,1.85475,0.09559,0.60802,0.01158,6.19649,0.50244,0.58548,0.53456,0.27712,0.34296,0.37219,0.29179,0.15465,1.37497,3.23229,0.14286,1.37916,0.01689,0,0.000550056,0.000550056,0.000550056
