epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,638.808,1.4324,3.4503,0.1781,0.99534,0.01509,8.35496,0.63398,0.59545,0.5805,0.30075,0.43373,0.44838,0.35117,0.17904,1.46333,3.47675,0.14854,1.18695,0.01505,0,0.000847026,0.000847026,0.000847026
26,662.035,1.47875,3.57401,0.17944,1.01112,0.01333,7.95808,0.72958,0.58901,0.6439,0.32911,0.51126,0.45639,0.40132,0.21415,1.49673,3.63475,0.1457,1.17075,0.01569,0,0.000836027,0.000836027,0.000836027
27,687.056,1.47336,3.72193,0.194,1.05067,0.01339,8.34202,0.62468,0.55849,0.59061,0.29251,0.49741,0.45146,0.41594,0.21889,1.57552,3.49741,0.16704,1.2451,0.01652,0,0.000825029,0.000825029,0.000825029
28,710.357,1.43517,3.66309,0.18359,1.02324,0.01414,8.299,0.61716,0.57373,0.57595,0.30736,0.52786,0.48772,0.42378,0.21841,1.53086,3.3278,0.15955,1.19665,0.01618,0,0.00081403,0.00081403,0.00081403
29,734.215,1.39037,3.47304,0.16417,0.96138,0.01402,8.11232,0.62388,0.57638,0.54996,0.28475,0.49259,0.46405,0.35577,0.19419,1.50012,3.56776,0.14856,1.25599,0.01545,0,0.000803031,0.000803031,0.000803031
30,758.521,1.41522,3.42066,0.16381,0.96319,0.01335,7.83702,0.65893,0.58964,0.641,0.32985,0.51232,0.50444,0.43418,0.23389,1.48037,3.40876,0.14095,1.20754,0.01594,0,0.000792032,0.000792032,0.000792032
31,783.966,1.31839,3.187,0.16773,0.87776,0.01339,7.66993,0.69066,0.621,0.65244,0.34335,0.58914,0.51601,0.45827,0.24204,1.52012,3.29485,0.13919,1.13486,0.01622,0,0.000781033,0.000781033,0.000781033
32,809.15,1.3136,3.11552,0.15902,0.86019,0.01373,7.50302,0.73353,0.53648,0.64396,0.36355,0.67158,0.43161,0.4083,0.22517,1.41904,3.485,0.13056,1.16525,0.0152,0,0.000770034,0.000770034,0.000770034
33,833.86,1.29695,3.09583,0.17598,0.84384,0.01346,7.56695,0.67756,0.60839,0.6416,0.35403,0.6153,0.52287,0.47786,0.26252,1.39509,3.19254,0.1368,1.15464,0.01425,0,0.000759035,0.000759035,0.000759035
34,858.818,1.35429,3.38874,0.16934,0.92095,0.01262,7.72174,0.62252,0.57641,0.56896,0.31267,0.60595,0.53273,0.48402,0.2458,1.5225,3.27012,0.14685,1.21929,0.01666,0,0.000748036,0.000748036,0.000748036
35,881.806,1.32511,3.18411,0.15273,0.88051,0.01238,7.31755,0.77076,0.52878,0.61547,0.34734,0.60016,0.48696,0.42448,0.22375,1.49144,3.47126,0.1328,1.13601,0.01673,0,0.000737037,0.000737037,0.000737037
36,904.895,1.29,3.21527,0.15813,0.88061,0.012,7.35158,0.751,0.53435,0.55876,0.32656,0.66,0.44677,0.40239,0.24794,1.46108,3.27847,0.13198,1.08072,0.01511,0,0.000726038,0.000726038,0.000726038
37,927.699,1.30633,3.13514,0.16863,0.87308,0.01257,7.30323,0.74905,0.51245,0.53656,0.31226,0.64887,0.48329,0.41016,0.25043,1.42787,3.14491,0.13844,1.26361,0.01499,0,0.00071504,0.00071504,0.00071504
38,950.345,1.26851,3.02805,0.16845,0.83141,0.01334,7.34714,0.5915,0.603,0.58635,0.33601,0.50241,0.50731,0.44454,0.26798,1.41434,3.28405,0.12775,1.12846,0.0151,0,0.000704041,0.000704041,0.000704041
39,973.5,1.27086,2.9519,0.17625,0.82687,0.01339,7.37548,0.70064,0.63898,0.6458,0.34546,0.6462,0.56947,0.51057,0.26989,1.45414,3.20103,0.13757,1.11641,0.0152,0,0.000693042,0.000693042,0.000693042
40,995.926,1.3014,2.88518,0.15951,0.80248,0.01259,6.87962,0.71749,0.64169,0.67463,0.38671,0.62951,0.56959,0.53554,0.32167,1.37706,3.16116,0.12784,1.11643,0.0141,0,0.000682043,0.000682043,0.000682043
41,1020.02,1.25939,2.84581,0.16135,0.82493,0.01296,7.05621,0.64713,0.61267,0.59101,0.32818,0.52724,0.52645,0.41381,0.23389,1.3957,3.0978,0.13755,1.08937,0.01414,0,0.000671044,0.000671044,0.000671044
42,1042.78,1.28546,3.08088,0.15727,0.83009,0.01349,7.25106,0.69094,0.58449,0.59965,0.33981,0.53777,0.5088,0.44743,0.27202,1.45045,3.08005,0.13069,1.16827,0.0149,0,0.000660045,0.000660045,0.000660045
43,1066.74,1.31525,2.87563,0.16846,0.83915,0.01222,6.85912,0.72011,0.63464,0.68522,0.39577,0.64154,0.55763,0.52524,0.29401,1.40489,3.14424,0.12996,1.05988,0.01496,0,0.000649046,0.000649046,0.000649046
44,1089.96,1.29994,2.92166,0.16075,0.79131,0.01166,6.74171,0.70039,0.66172,0.70978,0.40673,0.61185,0.57107,0.53276,0.30629,1.40394,3.0232,0.12595,1.00345,0.01398,0,0.000638047,0.000638047,0.000638047
45,1114.26,1.29333,2.70744,0.16479,0.7821,0.01234,6.66226,0.74666,0.60333,0.70165,0.40295,0.55129,0.45915,0.41777,0.23005,1.37768,3.21317,0.13661,1.03122,0.01407,0,0.000627048,0.000627048,0.000627048
46,1137.33,1.24907,2.69084,0.16618,0.78049,0.01215,6.60936,0.68915,0.64716,0.66416,0.37547,0.57941,0.59497,0.5237,0.29886,1.33491,3.18109,0.12552,1.07624,0.01354,0,0.000616049,0.000616049,0.000616049
47,1159.74,1.22206,2.78089,0.15462,0.74721,0.01223,6.7247,0.69593,0.66484,0.66447,0.35814,0.5255,0.49101,0.43722,0.21774,1.3455,3.42834,0.12938,1.04422,0.0132,0,0.000605051,0.000605051,0.000605051
48,1183.13,1.2652,2.65421,0.15568,0.73058,0.0114,6.31581,0.62526,0.65805,0.67814,0.3863,0.55448,0.57442,0.52607,0.28613,1.37975,3.01558,0.13579,1.05545,0.01397,0,0.000594052,0.000594052,0.000594052
49,1206.39,1.26974,2.69364,0.14774,0.75414,0.01165,6.35609,0.69807,0.62593,0.64812,0.35959,0.6476,0.57872,0.55172,0.35184,1.42859,3.13008,0.12629,1.17444,0.01457,0,0.000583053,0.000583053,0.000583053
50,1229.4,1.21605,2.61612,0.16728,0.7503,0.01154,6.21611,0.73791,0.61999,0.68095,0.38544,0.65159,0.54067,0.52121,0.29872,1.40904,3.17536,0.13146,1.07862,0.01547,0,0.000572054,0.000572054,0.000572054
51,1252.28,1.20728,2.55915,0.16534,0.722,0.01215,6.59801,0.73547,0.6247,0.66248,0.37575,0.67585,0.55335,0.56005,0.34944,1.34419,2.93542,0.1339,1.0421,0.01345,0,0.000561055,0.000561055,0.000561055
52,1276.63,1.20993,2.64348,0.15403,0.72341,0.01155,6.39153,0.65684,0.64328,0.653,0.37937,0.58155,0.54809,0.52751,0.31506,1.33653,3.03971,0.13551,1.0754,0.01386,0,0.000550056,0.000550056,0.000550056
53,1299.54,1.19502,2.51451,0.1585,0.69844,0.01122,6.01866,0.71511,0.62663,0.6555,0.37993,0.6482,0.55784,0.51868,0.2997,1.34041,2.92373,0.13496,1.06925,0.0136,0,0.000539057,0.000539057,0.000539057
54,1322.37,1.13134,2.43207,0.14693,0.66613,0.01115,6.12585,0.72307,0.65236,0.66755,0.37653,0.66072,0.57754,0.55846,0.3109,1.33921,2.97713,0.12633,1.06943,0.01315,0,0.000528058,0.000528058,0.000528058
55,1345.45,1.12963,2.29207,0.16403,0.64703,0.01106,5.76507,0.67495,0.63993,0.6268,0.3633,0.58528,0.59015,0.53073,0.30776,1.29023,2.87967,0.1305,1.12723,0.01262,0,0.000517059,0.000517059,0.000517059
56,1368.17,1.15691,2.47453,0.14775,0.70819,0.01097,6.0322,0.74356,0.62885,0.6802,0.40476,0.58001,0.45663,0.4003,0.21378,1.30706,3.44464,0.1272,0.96398,0.01329,0,0.00050606,0.00050606,0.00050606
57,1390.63,1.20213,2.54019,0.14695,0.70558,0.01085,5.84559,0.71406,0.66035,0.66987,0.38476,0.65037,0.58024,0.55853,0.35259,1.34499,2.91724,0.12963,0.98301,0.01339,0,0.000495062,0.000495062,0.000495062
58,1415.47,1.19442,2.5146,0.1607,0.71296,0.01093,6.01479,0.72595,0.68659,0.6909,0.40651,0.64589,0.60611,0.55242,0.33636,1.34458,2.93693,0.12837,1.03014,0.01395,0,0.000484063,0.000484063,0.000484063
59,1440.32,1.17925,2.47408,0.1627,0.70226,0.01215,6.21571,0.69889,0.68816,0.67473,0.39872,0.6258,0.57996,0.55334,0.3728,1.31076,2.87518,0.13826,1.06257,0.01303,0,0.000473064,0.000473064,0.000473064
60,1463.84,1.1283,2.42186,0.15702,0.67855,0.01084,5.91257,0.7477,0.64765,0.69288,0.40669,0.63011,0.49436,0.50252,0.28848,1.31083,3.2392,0.1222,0.99099,0.01365,0,0.000462065,0.000462065,0.000462065
61,1486.66,1.1126,2.25469,0.15955,0.65376,0.01125,5.72883,0.73309,0.64868,0.65647,0.39242,0.63593,0.52411,0.49281,0.32365,1.29925,2.81282,0.13133,1.04315,0.01284,0,0.000451066,0.000451066,0.000451066
62,1509.36,1.09983,2.3518,0.15206,0.6404,0.00966,5.51065,0.70055,0.67732,0.67671,0.41163,0.62384,0.60282,0.54507,0.30947,1.29544,2.93338,0.12772,0.99431,0.01321,0,0.000440067,0.000440067,0.000440067
63,1532.58,1.11294,2.34304,0.16492,0.65024,0.01073,5.65893,0.72809,0.62242,0.65985,0.39779,0.62953,0.63846,0.5835,0.38844,1.3229,2.7565,0.13224,1.04005,0.01354,0,0.000429068,0.000429068,0.000429068
64,1557.88,1.12921,2.42551,0.16884,0.67977,0.01089,5.92895,0.75191,0.65304,0.72378,0.43655,0.66823,0.58295,0.61562,0.40057,1.28227,2.81573,0.12528,0.97296,0.01288,0,0.000418069,0.000418069,0.000418069
65,1582.15,1.1074,2.19556,0.15491,0.62139,0.00988,5.28513,0.75052,0.67984,0.7084,0.41385,0.6763,0.55406,0.57209,0.36535,1.29045,3.16822,0.10978,0.90699,0.01303,0,0.00040707,0.00040707,0.00040707
66,1604.76,1.09239,2.20704,0.15174,0.59894,0.01066,5.34945,0.72711,0.68234,0.69614,0.41855,0.63299,0.60369,0.58186,0.40744,1.24293,3.05422,0.11075,0.91109,0.01259,0,0.000396071,0.000396071,0.000396071
67,1627.96,1.11169,2.27215,0.16271,0.61907,0.01004,5.19052,0.74702,0.67071,0.69614,0.41409,0.65543,0.58829,0.58479,0.40453,1.2989,3.04263,0.11926,0.97357,0.01323,0,0.000385073,0.000385073,0.000385073
68,1651.02,1.11204,2.20787,0.14282,0.6147,0.01087,5.32937,0.74589,0.68534,0.70545,0.4208,0.67178,0.60618,0.60076,0.39655,1.28341,2.93569,0.1169,0.99933,0.01333,0,0.000374074,0.000374074,0.000374074
69,1673.6,1.08332,2.12404,0.15657,0.63546,0.00981,5.08282,0.73928,0.68051,0.70859,0.42292,0.65487,0.63106,0.60578,0.422,1.26486,2.91278,0.12112,0.98373,0.0124,0,0.000363075,0.000363075,0.000363075
70,1698.8,1.07189,2.13198,0.14624,0.60534,0.0104,5.08971,0.7629,0.63512,0.68196,0.41182,0.64378,0.62252,0.60157,0.42105,1.2641,2.74257,0.12977,1.02194,0.01282,0,0.000352076,0.000352076,0.000352076
71,1721.73,1.06026,2.33343,0.15723,0.60024,0.01084,5.62899,0.75485,0.69222,0.70658,0.42742,0.64258,0.5698,0.58081,0.39395,1.23958,3.0491,0.11382,0.93711,0.01232,0,0.000341077,0.000341077,0.000341077
72,1744.59,1.08019,2.08574,0.15037,0.60529,0.01,5.06943,0.76578,0.65549,0.68442,0.41311,0.60375,0.56944,0.53079,0.33765,1.2552,3.14761,0.10965,0.96469,0.01257,0,0.000330078,0.000330078,0.000330078
73,1767.84,1.05782,2.17432,0.14624,0.59569,0.0095,4.8485,0.73503,0.65097,0.62513,0.37705,0.64076,0.58723,0.54218,0.35522,1.27666,2.71546,0.12953,1.07605,0.01259,0,0.000319079,0.000319079,0.000319079
74,1791.44,1.08557,2.28853,0.14079,0.60626,0.00949,5.14334,0.72272,0.63136,0.64336,0.39139,0.62117,0.61002,0.56607,0.36626,1.24288,2.8198,0.12509,1.00493,0.01223,0,0.00030808,0.00030808,0.00030808
75,1814.95,1.06376,2.06387,0.15822,0.60417,0.0099,4.93149,0.70661,0.70315,0.6923,0.41681,0.6353,0.59721,0.57546,0.37983,1.23678,3.00327,0.11274,0.92823,0.0122,0,0.000297081,0.000297081,0.000297081
76,1838.3,1.06649,2.13854,0.14795,0.60429,0.00916,4.88014,0.73455,0.68206,0.69307,0.42394,0.61526,0.60543,0.56834,0.39604,1.21455,2.91411,0.11352,0.90392,0.01203,0,0.000286083,0.000286083,0.000286083
77,1860.75,1.03361,1.99873,0.1559,0.56975,0.01027,4.86597,0.70927,0.681,0.68212,0.41466,0.66743,0.62264,0.5918,0.40784,1.24166,2.83123,0.11522,0.94691,0.01239,0,0.000275084,0.000275084,0.000275084
78,1884.01,0.99528,1.87577,0.15131,0.56073,0.00997,4.73539,0.73462,0.66674,0.68419,0.4179,0.67498,0.61745,0.59364,0.42269,1.2408,2.71911,0.12031,0.96346,0.01219,0,0.000264085,0.000264085,0.000264085
79,1906.4,1.01263,2.08975,0.15793,0.59836,0.00992,5.2365,0.68635,0.69163,0.6745,0.41274,0.64785,0.64048,0.57977,0.40593,1.25571,2.70785,0.12407,1.02618,0.01226,0,0.000253086,0.000253086,0.000253086
80,1929.33,1.02236,1.99587,0.15664,0.59215,0.00958,4.86314,0.75361,0.6447,0.67704,0.41265,0.63599,0.64882,0.58226,0.41452,1.25668,2.71224,0.1189,1.02681,0.01266,0,0.000242087,0.000242087,0.000242087
81,1952.32,1.03136,2.02193,0.14369,0.57392,0.00926,4.80049,0.73925,0.65408,0.6642,0.40502,0.67253,0.61775,0.5785,0.3906,1.26716,2.74819,0.11944,1.05547,0.01238,0,0.000231088,0.000231088,0.000231088
82,1975.24,1.06461,2.14475,0.15784,0.65815,0.00954,4.91774,0.73389,0.65433,0.65418,0.39619,0.67795,0.60768,0.59264,0.40276,1.25307,2.71433,0.12043,1.0541,0.01221,0,0.000220089,0.000220089,0.000220089
83,1998.09,1.0202,1.97395,0.1645,0.5644,0.01012,4.85143,0.71512,0.67073,0.67383,0.41409,0.6489,0.62114,0.59072,0.41871,1.22061,2.69208,0.12669,1.00501,0.01195,0,0.00020909,0.00020909,0.00020909
84,2020.57,1.00859,1.95848,0.13613,0.55395,0.00877,4.32198,0.70032,0.66896,0.66257,0.40106,0.62914,0.63175,0.58057,0.41867,1.27787,2.69761,0.12017,1.08353,0.01256,0,0.000198091,0.000198091,0.000198091
85,2043.45,0.99194,1.92517,0.15845,0.54918,0.00938,4.61292,0.73269,0.66212,0.65469,0.39954,0.64451,0.61617,0.56928,0.40961,1.2609,2.71217,0.12025,1.07837,0.01239,0,0.000187092,0.000187092,0.000187092
86,2066.06,0.99371,1.868,0.16338,0.54082,0.00978,4.5196,0.76339,0.64022,0.6611,0.4054,0.65691,0.61287,0.56671,0.39876,1.22174,2.72457,0.12186,1.05678,0.01178,0,0.000176094,0.000176094,0.000176094
87,2089.25,0.99281,1.96696,0.15314,0.57687,0.00956,4.64659,0.75177,0.6492,0.65531,0.39841,0.64251,0.624,0.57117,0.39221,1.23575,2.71301,0.11852,1.07851,0.01175,0,0.000165095,0.000165095,0.000165095
88,2112.48,0.97905,1.96753,0.14183,0.53701,0.0088,4.40437,0.74534,0.6295,0.65505,0.40173,0.6465,0.62527,0.57585,0.40879,1.25768,2.73439,0.12134,1.08954,0.01215,0,0.000154096,0.000154096,0.000154096
89,2135.26,0.96785,1.85182,0.13644,0.52698,0.00858,4.25192,0.75957,0.64398,0.67834,0.41533,0.692,0.57844,0.58071,0.41853,1.23831,2.74068,0.12275,1.0333,0.0119,0,0.000143097,0.000143097,0.000143097
90,2158.68,1.01711,2.01174,0.14243,0.55177,0.00841,4.18165,0.74883,0.6467,0.66475,0.409,0.67909,0.58125,0.5797,0.41542,1.23654,2.73404,0.12101,1.05047,0.01201,0,0.000132098,0.000132098,0.000132098
91,2193.37,1.03669,2.17988,0.1838,0.73348,0.00982,4.99754,0.73156,0.64862,0.65821,0.40964,0.65971,0.58801,0.58811,0.42376,1.22097,2.76634,0.12249,1.07098,0.01172,0,0.000121099,0.000121099,0.000121099
92,2216.16,0.98639,1.92484,0.14971,0.54186,0.0083,4.43546,0.73634,0.64303,0.65791,0.40778,0.63449,0.60929,0.59575,0.42569,1.23506,2.74535,0.12111,1.06949,0.0119,0,0.0001101,0.0001101,0.0001101
93,2238.79,0.96443,1.97189,0.14574,0.54134,0.00847,4.41115,0.73826,0.65663,0.66467,0.40711,0.6663,0.62303,0.59269,0.41964,1.24281,2.73346,0.12,1.06491,0.01199,0,9.91012e-05,9.91012e-05,9.91012e-05
94,2261.8,0.99116,1.97447,0.14504,0.55341,0.00878,4.39739,0.75257,0.64403,0.67913,0.41246,0.65865,0.62431,0.58755,0.42029,1.23972,2.71292,0.11814,1.04446,0.01191,0,8.81023e-05,8.81023e-05,8.81023e-05
95,2284.46,0.99259,1.82856,0.14675,0.54098,0.00881,4.04299,0.7453,0.632,0.65721,0.40762,0.64375,0.65596,0.60514,0.434,1.21096,2.66059,0.11871,1.04924,0.01147,0,7.71034e-05,7.71034e-05,7.71034e-05
96,2308.35,0.94236,1.8321,0.14677,0.53768,0.00882,4.14426,0.74218,0.64201,0.66468,0.40829,0.65161,0.65827,0.60755,0.43372,1.22341,2.6757,0.11969,1.05833,0.01198,0,6.61045e-05,6.61045e-05,6.61045e-05
97,2331.75,0.94028,1.76674,0.16356,0.52262,0.00914,4.18388,0.76492,0.63937,0.66802,0.41469,0.63474,0.64556,0.59822,0.43333,1.21289,2.68088,0.11963,1.04971,0.01171,0,5.51056e-05,5.51056e-05,5.51056e-05
98,2358.68,0.96412,1.84324,0.14254,0.54259,0.00851,4.21916,0.75558,0.63868,0.66584,0.41382,0.65634,0.61707,0.60229,0.43891,1.21936,2.67932,0.12032,1.05021,0.01181,0,4.41067e-05,4.41067e-05,4.41067e-05
99,2384.38,0.97417,1.91266,0.1504,0.52341,0.00886,4.32719,0.74281,0.64029,0.66322,0.41254,0.64156,0.65101,0.60885,0.43943,1.21554,2.67528,0.12018,1.0457,0.01167,0,3.31078e-05,3.31078e-05,3.31078e-05
100,2408.31,0.9541,1.87039,0.14373,0.50961,0.00893,4.15401,0.74342,0.63993,0.66784,0.41513,0.651,0.63953,0.60053,0.43575,1.21889,2.68611,0.11902,1.04834,0.01178,0,2.21089e-05,2.21089e-05,2.21089e-05
