epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,643.264,1.26512,3.18284,0.11874,0.80385,0.01275,7.98498,0.60512,0.62688,0.64841,0.34118,0.54708,0.44685,0.40977,0.19681,1.41706,3.42651,0.15988,1.18142,0.01473,0,0.000847026,0.000847026,0.000847026
26,667.881,1.32313,3.25159,0.12898,0.86113,0.01126,7.48556,0.69691,0.568,0.61183,0.32272,0.57862,0.45958,0.39904,0.19152,1.44416,3.43032,0.15932,1.24222,0.01447,0,0.000836027,0.000836027,0.000836027
27,691.412,1.30135,3.20789,0.1211,0.849,0.0111,7.43507,0.68858,0.55167,0.59843,0.31355,0.59004,0.46871,0.44949,0.22192,1.44673,3.33913,0.1627,1.1902,0.0147,0,0.000825029,0.000825029,0.000825029
28,715.646,1.27282,3.25872,0.11913,0.86259,0.01206,7.73268,0.66522,0.58894,0.62628,0.34008,0.56438,0.50888,0.4292,0.22184,1.45262,3.23856,0.17231,1.22872,0.01559,0,0.00081403,0.00081403,0.00081403
29,741.758,1.26571,2.96734,0.11315,0.78071,0.01164,7.24326,0.64914,0.61288,0.63775,0.34833,0.51981,0.46538,0.41354,0.21675,1.4686,3.4549,0.15733,1.2408,0.01521,0,0.000803031,0.000803031,0.000803031
30,766.47,1.30287,3.061,0.11817,0.79065,0.01145,7.18779,0.6808,0.64051,0.64673,0.36398,0.59454,0.55449,0.49283,0.25319,1.43161,3.19224,0.17509,1.1733,0.01509,0,0.000792032,0.000792032,0.000792032
31,792.005,1.19112,2.82537,0.1222,0.72361,0.01112,6.95591,0.64036,0.61018,0.64101,0.34972,0.60476,0.52489,0.48133,0.27146,1.4275,3.28816,0.14601,1.12759,0.01432,0,0.000781033,0.000781033,0.000781033
32,817.396,1.20801,2.77687,0.10508,0.71148,0.01176,6.70149,0.66769,0.6043,0.65721,0.34574,0.58947,0.55132,0.50757,0.27928,1.43321,3.1454,0.15712,1.23857,0.01477,0,0.000770034,0.000770034,0.000770034
33,843.231,1.18154,2.64074,0.11736,0.68868,0.01153,6.7372,0.68612,0.63714,0.64421,0.35162,0.63306,0.57852,0.51695,0.32237,1.38106,3.14416,0.16006,1.1973,0.01408,0,0.000759035,0.000759035,0.000759035
34,868.695,1.19376,2.88097,0.11505,0.76194,0.01054,6.85819,0.7161,0.61357,0.65258,0.35476,0.62893,0.53515,0.49872,0.28214,1.42011,3.1497,0.15042,1.23394,0.01488,0,0.000748036,0.000748036,0.000748036
35,892.55,1.19081,2.80015,0.10567,0.70834,0.01094,6.759,0.66854,0.61621,0.66367,0.3487,0.60869,0.54616,0.48491,0.27779,1.47162,3.25795,0.16775,1.25616,0.01613,0,0.000737037,0.000737037,0.000737037
36,916.612,1.18019,2.70227,0.10724,0.6891,0.0103,6.54804,0.63339,0.6354,0.63346,0.34611,0.58566,0.57086,0.48857,0.27597,1.39308,3.12057,0.15494,1.12807,0.01433,0,0.000726038,0.000726038,0.000726038
